Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Germany,Office Supplies,Online,C,2/22/2015,498603188,2/27/2015,6618,651.21,524.96,4309707.78,3474185.28,835522.50
Europe,Germany,Household,Online,L,10/5/2010,351362788,11/14/2010,4912,668.27,502.54,3282542.24,2468476.48,814065.76
Europe,Germany,Baby Food,Online,M,11/2/2011,184956824,12/4/2011,1689,255.28,159.42,431167.92,269260.38,161907.54
Europe,Germany,Household,Offline,H,11/26/2014,211084115,12/11/2014,3335,668.27,502.54,2228680.45,1675970.90,552709.55
Europe,Germany,Snacks,Online,L,6/7/2012,343512713,7/21/2012,1900,152.58,97.44,289902.00,185136.00,104766.00
Europe,Germany,Personal Care,Offline,C,3/17/2013,821268641,4/24/2013,496,81.73,56.67,40538.08,28108.32,12429.76
Europe,Germany,Personal Care,Online,L,11/1/2015,226192033,11/6/2015,4104,81.73,56.67,335419.92,232573.68,102846.24
Europe,Germany,Cosmetics,Online,M,3/27/2015,396078860,4/5/2015,7391,437.20,263.33,3231345.20,1946272.03,1285073.17
Europe,Germany,Baby Food,Offline,H,12/23/2013,636471307,1/21/2014,4858,255.28,159.42,1240150.24,774462.36,465687.88
Europe,Germany,Fruits,Offline,L,10/24/2013,698690402,12/6/2013,6871,9.33,6.92,64106.43,47547.32,16559.11
Europe,Germany,Office Supplies,Offline,M,12/5/2015,936292922,1/12/2016,8737,651.21,524.96,5689621.77,4586575.52,1103046.25
Europe,Germany,Vegetables,Online,C,10/15/2014,147005069,11/3/2014,921,154.06,90.93,141889.26,83746.53,58142.73
Europe,Germany,Household,Online,C,5/26/2016,170835959,6/10/2016,3012,668.27,502.54,2012829.24,1513650.48,499178.76
Europe,Germany,Cosmetics,Online,C,8/4/2014,101696765,9/19/2014,3188,437.20,263.33,1393793.60,839496.04,554297.56
Europe,Germany,Cosmetics,Online,M,1/20/2014,811459910,3/2/2014,7875,437.20,263.33,3442950.00,2073723.75,1369226.25
Europe,Germany,Fruits,Online,C,12/22/2016,293850648,1/6/2017,5792,9.33,6.92,54039.36,40080.64,13958.72
Europe,Germany,Beverages,Online,H,2/27/2016,561258733,3/22/2016,7786,47.45,31.79,369445.70,247516.94,121928.76
Europe,Germany,Meat,Online,L,1/3/2016,520714461,1/25/2016,9835,421.89,364.69,4149288.15,3586726.15,562562.00
Europe,Germany,Beverages,Online,L,7/27/2015,318949258,9/6/2015,3028,47.45,31.79,143678.60,96260.12,47418.48
Europe,Germany,Cosmetics,Offline,L,11/7/2014,202698886,12/24/2014,1960,437.20,263.33,856912.00,516126.80,340785.20
Europe,Germany,Personal Care,Offline,L,12/30/2013,581016528,1/20/2014,4557,81.73,56.67,372443.61,258245.19,114198.42
Europe,Germany,Clothes,Offline,H,5/26/2010,368273580,6/26/2010,9191,109.28,35.84,1004392.48,329405.44,674987.04
Europe,Germany,Cosmetics,Offline,H,7/23/2013,907121217,8/5/2013,6181,437.20,263.33,2702333.20,1627642.73,1074690.47
